Edad;Pais_origen;Tiempo_interes_anime;Como_se_intereso_anime;Sailor_Moon;Dragon_Ball;Saint_Seiya;One_Piece;Naruto;Bleach;Neon_Genesis_Evangelion;Hunter_x_Hunter;SAO;Siete_pecados_capitales;Re_zero;Samurai_Chanploo;Fullmetal_Alchemist;Deaht_Note;Shingeki_no_Kyojin;Fate;Otro;Amistad;Lealtad;Amor;Superacion;Esfuerzo;Tolerancia;Bondad;Solidaridad;Responsabilidad;Honestidad;Otro
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0
19 - 30;Colombia;El último año;Por recomendación;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;Black Clover, demon slayer, hells paradise bluelock ,erased,chainsaw,ranking of king, my love story ;1;1;1;1;1;0;0;0;0;0;0
19 - 30;España;Hace 5 años;Por internet;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0
19 - 30;Colombia;Hace 10 años;Porque lo veía de niño;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;Hellsing;1;1;1;0;0;0;0;0;0;0;Respeto
19 - 30;España;Más de 10 años;Porque lo veía de niño;0;1;0;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0
19 - 30;México;Más de 10 años;Porque lo veía de niño;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0
30 - 45;Ecuador;Más de 10 años;Porque lo veía de niño;1;1;1;0;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0
19 - 30;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0
19 - 30;Ecuador;Hace 10 años;Por internet;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;0;1;1;0;0;1;1;1;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0
30 - 45;Ecuador;Hace 5 años;Por recomendación;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
19 - 30;Colombia;Más de 10 años;Por internet;0;1;0;0;0;0;1;1;1;0;0;0;1;0;1;0;Etc (ni yo se cuales otros de tantos que hay);1;1;1;0;0;0;0;0;0;0;0
30 - 45;Colombia;Hace 10 años;Porque lo veía de niño;1;1;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0
30 - 45;Ecuador;Más de 10 años;Porque lo veía de niño;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;1;0;1;1;1;1;0
30 - 45;Colombia;Más de 10 años;Por recomendación;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;Inuyasha, Code Geass, ;1;1;0;1;1;1;0;0;0;1;0
19 - 30;Ecuador;Más de 10 años;Por recomendación;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;1;0
45 - 60;Ecuador;Más de 10 años;Porque lo veía de niño;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;Mazinger z, capitán futuro, festival de los robots, liveman, jiban;1;1;1;1;1;1;1;0;1;1;A pelear
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0
19 - 30;Colombia;Más de 10 años;Porque lo veía de niño;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;1;1;0;0
30 - 45;España;Hace 5 años;Por recomendación;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;1;0;1;1;1;1;1;0;0
19 - 30;Ecuador;Hace unas semanas;Por internet;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
30 - 45;Colombia;Hace 5 años;Por recomendación;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0
30 - 45;Colombia;Hace unas semanas;Curiosidad;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0
30 - 45;Colombia;Hace 5 años;Porque lo veía de niño;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;1;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0
19 - 30;Colombia;Hace 5 años;Por internet;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;Kitmesu no yaiba (Demon slayer);1;1;1;1;1;0;1;0;1;0;0
0 - 18;Ecuador;En los útlimos 6 meses;Por internet;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0
19 - 30;Colombia;El último año;Porque lo veía de niño;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0
19 - 30;Colombia;Hace 5 años;Porque lo veía de niño;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;0;0;1;1;1;1;0;0;1;0;0;1;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;1;1;0;0
19 - 30;Colombia;Más de 10 años;Porque lo veía de niño;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;Ya perdi la cuenta jajaja;1;1;0;1;0;1;0;1;0;0;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;0;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0
30 - 45;México;Más de 10 años;Porque lo veía de niño;1;1;1;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0
30 - 45;España;Más de 10 años;Porque lo veía de niño;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;Macross;1;1;0;1;1;0;1;1;1;0;0
45 - 60;Argentina;Más de 10 años;Porque lo veía de niño;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;Mazinger;0;0;0;0;0;0;1;1;1;0;Competencia y defensa de uno mismo
30 - 45;Colombia;Hace 10 años;Porque lo veía de niño;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0
30 - 45;México;Más de 10 años;Porque lo veía de niño;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
45 - 60;Chile;Más de 10 años;Porque lo veía de niño;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0
30 - 45;Costa Rica;Más de 10 años;Porque lo veía de niño;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0
19 - 30;Ecuador;Más de 10 años;Porque lo veía de niño;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;Caballeros del zodiaco, demonslayer, borato, pokemon.;1;1;1;1;1;1;0;0;1;0;0
19 - 30;Ecuador;Más de 10 años;Porque lo veía de niño;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;Kimentsu no yaiba, tokyo revenger, Kimi ni Todoke, Sakura cart captor, etc;0;0;0;1;1;1;0;1;1;0;0
19 - 30;Colombia;Más de 10 años;Porque lo veía de niño;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0
19 - 30;Colombia;Más de 10 años;Porque lo veía de niño;0;1;1;0;1;1;1;0;1;1;0;0;0;1;1;0;Kimetsu No Yaiba, Akatsuki No Yona, Mirai Nikki, Tokyo Ghoul.;1;1;1;1;0;0;1;0;0;1;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;0;0;1;0;0;1;0;0;0;1;1;1;0;1;1;1;1;0;0;1;0;0;1;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;Ranma ½, Super Campeones, Japón se hunde, amor de gata.;1;1;0;1;1;1;1;1;1;1;0
19 - 30;Colombia;Más de 10 años;Porque lo veía de niño;0;1;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0
19 - 30;Colombia;Hace 5 años;Por recomendación;0;1;1;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0
19 - 30;Colombia;Más de 10 años;Porque lo veía de niño;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Películas como your name, quiero comerme tu páncreas ;1;0;1;1;0;1;1;0;1;1;0
19 - 30;Colombia;El último año;Porque lo veía de niño;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Hermanos green;1;0;0;1;1;1;0;1;1;1;0
45 - 60;Colombia;Más de 10 años;Por recomendación;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;1;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0
19 - 30;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;1;0;0;1;0;0
19 - 30;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;Inuyasha;1;1;1;0;1;0;0;0;1;0;0
19 - 30;Venezuela ;Más de 10 años;Porque lo veía de niño;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0
19 - 30;Colombia;Más de 10 años;Por recomendación;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;Super campeones, Cuentos de los Hermanos Green, Ramma 1/2, Candy, Capitán senteya, amor de Gata, Japón se hunde, Helsing.;1;1;1;1;1;0;0;0;1;0;0
30 - 45;Colombia;En los útlimos 6 meses;Por internet;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;1;0
45 - 60;Colombia;Más de 10 años;Porque lo veía de niño;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Candy ;1;1;1;0;1;1;1;1;1;0;0
45 - 60;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;0
0 - 18;Colombia;Hace 5 años;Por recomendación;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0
19 - 30;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;0
30 - 45;Colombia;Hace unas semanas;No me interesa ;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0
19 - 30;Colombia;Más de 10 años;Porque lo veía de niño;0;1;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0
30 - 45;Argentina;Hace unas semanas;Porque lo veía de niño;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0
19 - 30;Colombia;El último año;Por internet;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0
19 - 30;Colombia;Hace 5 años;Por recomendación;0;1;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;1;0;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;Sakura card captors;1;1;1;1;1;1;1;0;1;0;0
0 - 18;Colombia;Hace unas semanas;Por internet;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;Inuyasha ;1;1;1;0;1;0;0;0;0;0;0
19 - 30;Colombia;Hace unas semanas;Por recomendación;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
19 - 30;Colombia;Hace 5 años;Porque lo veía de niño;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0
19 - 30;Colombia;Más de 10 años;Porque lo veía de niño;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0
30 - 45;Colombia;Más de 10 años;Porque lo veía de niño;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
